program;size_matrix;seed;nb_processus;nb_threads;time
gauss_normal;10;0;-1;-1;0.04
gauss_normal;20;0;-1;-1;0.073
gauss_normal;30;0;-1;-1;0.053
gauss_normal;40;0;-1;-1;0.107
gauss_normal;50;0;-1;-1;0.193
gauss_normal;60;0;-1;-1;0.313
gauss_normal;70;0;-1;-1;0.585
gauss_normal;80;0;-1;-1;0.742
gauss_normal;90;0;-1;-1;1.115
gauss_normal;100;0;-1;-1;1.827
gauss_normal;110;0;-1;-1;2.149
gauss_normal;120;0;-1;-1;3.4
gauss_normal;130;0;-1;-1;4.719
gauss_normal;140;0;-1;-1;5.112
gauss_normal;150;0;-1;-1;5.747
gauss_normal;160;0;-1;-1;6.777
gauss_normal;170;0;-1;-1;7.902
gauss_normal;180;0;-1;-1;10.746
gauss_normal;190;0;-1;-1;10.488
gauss_normal;200;0;-1;-1;10.297
gauss_normal;210;0;-1;-1;13.674
gauss_normal;220;0;-1;-1;13.785
gauss_normal;230;0;-1;-1;17.426
gauss_normal;240;0;-1;-1;17.496
gauss_normal;250;0;-1;-1;20.781
gauss_normal;260;0;-1;-1;22.403
gauss_normal;270;0;-1;-1;25.275
gauss_normal;280;0;-1;-1;29.016
gauss_normal;290;0;-1;-1;31.641
gauss_normal;300;0;-1;-1;33.86
gauss_normal;310;0;-1;-1;36.989
gauss_normal;320;0;-1;-1;41.448
gauss_normal;330;0;-1;-1;44.02
gauss_normal;340;0;-1;-1;50.574
gauss_normal;350;0;-1;-1;61.899
gauss_normal;360;0;-1;-1;68.708
gauss_normal;370;0;-1;-1;73.385
gauss_normal;380;0;-1;-1;68.15
gauss_normal;390;0;-1;-1;76.268
gauss_normal;400;0;-1;-1;82.414
gauss_normal;410;0;-1;-1;89.764
gauss_normal;420;0;-1;-1;96.847
gauss_normal;430;0;-1;-1;100.584
gauss_normal;440;0;-1;-1;109.397
gauss_normal;450;0;-1;-1;116.412
gauss_normal;460;0;-1;-1;125.11
gauss_normal;470;0;-1;-1;134.992
gauss_normal;480;0;-1;-1;143.624
gauss_normal;490;0;-1;-1;147.933
gauss_normal;500;0;-1;-1;158.698
gauss_normal;510;0;-1;-1;162.544
gauss_normal;520;0;-1;-1;175.507
gauss_normal;530;0;-1;-1;181.625
gauss_normal;540;0;-1;-1;193.81
gauss_normal;550;0;-1;-1;209.809
gauss_normal;560;0;-1;-1;217.244
gauss_normal;570;0;-1;-1;237.1
gauss_normal;580;0;-1;-1;248.214
gauss_normal;590;0;-1;-1;261.566
gauss_normal;600;0;-1;-1;264.539
gauss_normal;610;0;-1;-1;300.938
gauss_normal;620;0;-1;-1;386.887
gauss_normal;630;0;-1;-1;315.19
gauss_normal;640;0;-1;-1;338.69
gauss_normal;650;0;-1;-1;361.706
gauss_normal;660;0;-1;-1;352.187
gauss_normal;670;0;-1;-1;423.898
gauss_normal;680;0;-1;-1;389.98
gauss_normal;690;0;-1;-1;439.762
gauss_normal;700;0;-1;-1;463.335
gauss_normal;710;0;-1;-1;504.693
gauss_normal;720;0;-1;-1;452.347
gauss_normal;730;0;-1;-1;511.467
gauss_normal;740;0;-1;-1;509.989
gauss_normal;750;0;-1;-1;515.271
gauss_normal;760;0;-1;-1;545.843
gauss_normal;770;0;-1;-1;565.503
gauss_normal;780;0;-1;-1;579.723
gauss_normal;790;0;-1;-1;611.997
gauss_normal;800;0;-1;-1;629.78
gauss_normal;810;0;-1;-1;669.009
gauss_normal;820;0;-1;-1;682.002
gauss_normal;830;0;-1;-1;747.799
gauss_normal;840;0;-1;-1;795.369
gauss_normal;850;0;-1;-1;778.865
gauss_normal;860;0;-1;-1;784.605
gauss_normal;870;0;-1;-1;807.615
gauss_normal;880;0;-1;-1;837.859
gauss_normal;890;0;-1;-1;859.847
gauss_normal;900;0;-1;-1;946.898
